,gene
1227,Atp13a2
1228,Atp13a3
1229,Atp13a4
1230,Atp1a1
1231,Atp1a3
1232,Atp1b1
1233,Atp1b3
1234,Atp23
1235,Atp2a2
1236,Atp2b1
1237,Atp2b2
1238,Atp2b4
1239,Atp2c1
1240,Atp2c2
1241,Atp5a1
1242,Atp5b
1243,Atp5c1
1244,Atp5c1-ps
1245,Atp5d
1246,Atp5e
1247,Atp5g1
1248,Atp5g2
1249,Atp5g3
1250,Atp5h
1251,Atp5j
1252,Atp5j2
1253,Atp5k
1254,Atp5k-ps2
1255,Atp5l
1256,Atp5l-ps1
1257,Atp5l-ps2
1258,Atp5l2-ps
1259,Atp5md
1260,Atp5mpl
1261,Atp5o
1262,Atp5pb
1263,Atp5pb-ps
1264,Atp6ap1
1265,Atp6ap2
1266,Atp6v0a1
1267,Atp6v0a2
1268,Atp6v0a4
1269,Atp6v0b
1270,Atp6v0c
1271,Atp6v0c-ps2
1272,Atp6v0d1
1273,Atp6v0e
1274,Atp6v0e2
1275,Atp6v1a
1276,Atp6v1b1
1277,Atp6v1b2
1278,Atp6v1c1
1279,Atp6v1c2
1280,Atp6v1d
1281,Atp6v1e1
1282,Atp6v1f
1283,Atp6v1g1
1284,Atp6v1h
1285,Atp7a
1286,Atp8a1
1287,Atp8a2
1288,Atp8b1
1289,Atp8b3
1290,Atp8b5
1291,Atp9a
1292,Atp9b
1293,Atpaf1
1294,Atpaf2
1295,Atpif1
1296,Atpsckmt
1297,Atr
1298,Atraid
1299,Atrip
1300,Atrn
1301,Atrnl1
1302,Atrx
1303,Atxn1
1304,Atxn10
1305,Atxn1l
1306,Atxn2
1307,Atxn2l
1308,Atxn3
1309,Atxn7
1310,Atxn7l1
1311,Atxn7l3
1312,Atxn7l3b
1313,Auh
1314,Aunip
1315,Aup1
1316,Aurka
1317,Aurkaip1
1318,Aurkb
1319,Auts2
1320,Aven
1321,Avl9
1322,Avpi1
1323,Axdnd1
1324,Axin1
1325,Axl
1326,Azi2
1327,Azin1
1328,Azin2
1329,B020010K11Rik
1330,B020011L13Rik
1331,B130021K23Rik
1332,B130055M24Rik
1333,B230118H07Rik
1334,B230208H11Rik
1335,B230209E15Rik
1336,B230219D22Rik
1337,B230303A05Rik
1338,B230307C23Rik
1339,B230312C02Rik
1340,B230369F24Rik
1341,B2m
1342,B3galnt2
1343,B3galt1
1344,B3gat3
1345,B3glct
1346,B3gnt2
1347,B3gnt3
